id,domain
9,amazonaws.com
10,apple.com
12,akamai.net
24,akamaiedge.net
25,amazon.com
26,akadns.net
27,azure.com
34,apple-dns.net
36,appsflyersdk.com
38,aaplimg.com
68,adobe.com
76,akam.net
110,a2z.com
119,apache.org
120,app-measurement.com
121,amazonvideo.com
124,amazon-adsystem.com
127,app-analytics-services.com
130,amazon.dev
144,archive.org
151,azurefd.net
157,adtrafficquality.google
161,ax-msedge.net
163,applovin.com
166,aliyuncs.com
167,aws.dev
170,adobe.io
175,azurewebsites.net
220,adsafeprotected.com
227,azureedge.net
230,akamaized.net
231,avast.com
236,android.com
238,adsrvr.org
251,adnxs.com
260,afternic.com
271,alibabadns.com
276,alidns.com
291,alibaba.com
304,ampproject.org
310,appsflyer.com
311,autodesk.com
316,amazon.co.uk
323,aliyun.com
326,arubanetworks.com
332,akamaihd.net
353,allawnos.com
356,aliyuncsslbintl.com
366,ack.de
387,amazon.de
394,awswaf.com
399,aliexpress.com
402,amplitude.com
408,amazontrust.com
413,avsxappcaptiveportal.com
418,akamaitech.net
420,aiv-delivery.net
424,amazonalexa.com
425,avcdn.net
437,adobe.net
448,adriver.ru
454,awsglobalaccelerator.com
470,addtoany.com
483,arxiv.org
493,atlassian.net
514,amzn.to
521,amazon.co.jp
522,adobedtm.com
528,aol.com
550,atlassian.com
565,aboutads.info
573,azure-dns.com
579,avito.ru
583,adobedc.net
592,alicdn.com
602,accuweather.com
607,amazon.fr
614,att.net
636,anthropic.com
645,amazon.ca
670,anydesk.com
674,amazon.in
697,a-msedge.net
703,agkn.com
706,amazon.es
712,allaboutcookies.org
716,asus.com
724,afilias-nst.info
726,amazon.co.za
746,amazon.it
749,alipaydns.com
750,appcenter.ms
754,adform.net
769,airbnb.com
773,adjust.com
780,apnews.com
784,appspot.com
792,a-mo.net
794,ameblo.jp
795,afilias-nst.org
812,allegro.pl
822,academia.edu
843,amazon.com.br
850,adguard-vpn.online
856,adgrx.com
857,amazon.com.au
863,agoda.com
884,azure-devices.net
893,arcgis.com
925,akahost.net
933,abovedomains.com
944,agora.io
949,amagi.tv
1010,ancestry.com
1016,amazon.com.mx
1030,amemv.com
1052,app-analytics-services-att.com
1064,as.com
1069,adblockplus.org
1073,alphonso.tv
1078,app-ads-services.com
1082,apa.org
1094,ameba.jp
1110,aparat.com
1116,amd.com
1154,alipay.com
1161,archiveofourown.org
1166,aftonbladet.se
1189,amazon.eg
1191,ad.nl
1208,admin.ch
1213,acesso.gov.br
1219,abc.net.au
1224,akamaitechnologies.com
1225,adaether.com
1248,argos.co.uk
1254,ap4r.com
1300,actu.fr
1302,adfuse-ssp.com
1304,admanmedia.com
1314,apigee.net
1315,ad-tech.ru
1317,aternos.org
1328,amap.com
1338,aljazeera.com
1346,asurascans.com
1353,aznude.com
1362,auth0.com
1403,action.com
1438,aka.ms
1455,attn.tv
1463,arca.live
1470,akismet.com
1523,att.com
1524,aajtak.in
1540,absher.sa
1565,avito.st
1578,afip.gob.ar
1579,azure.net
1580,ak2yy.com
1584,acm.org
1615,arabx.cam
1620,arabtnt.com
1622,arabxn.sex
1623,agenciatributaria.gob.es
1636,afribaba.com
1640,administracionelectronica.gob.es
1649,an1.com
1650,alphapolis.co.jp
1657,autoplius.lt
1663,anses.gob.ar
1666,aucey.com
1671,arbada.com
1691,animanch.com
1696,annunci69.it
1715,az24.vn
1728,apdcdn.com
1730,antarvasna3.com
1760,ad-contents.jp
1777,acs.org
1778,avira.com
1781,api.aws
1792,adroll.com
1806,ad-delivery.net
1826,adrta.com
1836,arstechnica.com
1838,archive.is
1876,archive.ph
1879,azure-api.net
1893,ahacdn.me
1896,aadrm.com
1902,auvik.com
1907,about.com
1909,apple-cloudkit.com
1912,akamai.com
1919,acrobat.com
1927,adobelogin.com
1933,appier.net
1951,automattic.com
1953,alikunlun.com
1962,acronis.com
1985,app.link
2017,amp-endpoint2.com
2029,ads-twitter.com
2041,aibixby.com
2043,aboutcookies.org
2044,amocrm.ru
2059,ak-is2.net
2060,ahrefs.com
2072,av380.net
2080,aniview.com
2085,adsco.re
2097,americanexpress.com
2107,adkernel.com
2110,apple.news
2114,adobess.com
2137,armgs.team
2139,algolia.net
2143,amazonaws.com.cn
2144,amp-endpoint3.com
2147,adobestats.io
2150,asu.edu
2166,asana.com
2172,autotrader.co.uk
2195,axon.ai
2196,ay.delivery
2203,ajio.com
2208,ad.gt
2215,adthrive.com
2221,a-mx.com
2245,adp.com
2266,abcnews.com
2287,adsmoloco.com
2292,apachefriends.org
2309,adswizz.com
2315,aws-prd.net
2335,axios.com
2350,alura.com.br
2372,ayhal.com
2399,altervista.org
2400,accenture.com
2406,applvn.com
2408,akstat.io
2409,animesalt.ac
2411,acesso.gov.pt
2498,al-adtech.com
2522,audible.com
2523,adtelligent.com
2539,about.me
2560,arizona.edu
2562,azure-dns.net
2603,afraid.org
2613,arc-msedge.net
2634,aditude.io
2635,aibotplatform.com
2650,alibabacorp.com
2662,atcpulsa.store
2671,akaquill.net
2689,archives.gov
2708,adguard.com
2729,anchor.fm
2731,archlinux.org
2732,addthis.com
2740,accor.com
2749,alfabank.ru
2752,aliexpress-media.com
2753,army.mil
2757,auth0app.com
2778,adnxs.net
2779,apptracer.ru
2792,atomile.com
2840,allawntech.com
2896,awsdns-03.com
2906,airtable.com
2908,asahi.com
2911,admatic.de
2930,artfight.net
2940,adidas.com
2958,affirm.com
2966,afrinic.net
2984,aarp.org
2992,aviasales.com
3019,apuestatotal.com
3031,assetsconfigcdn.org
3033,awsdns-29.com
3043,argotunnel.com
3049,arionplay.com
3096,admissions.nic.in
3102,allyonoapp.in
3105,allstate.com
3136,a.co
3139,awsdns-11.com
3141,atsenergo.ru
3152,allrecipes.com
3161,angelfire.com
3179,auth0edge.com
3181,awmdm.com
3204,amxrtb.com
3224,adjoe.zone
3228,awsdns-37.com
3234,acuityplatform.com
3247,awsdns-52.com
3253,adition.com
3267,amplifyapp.com
3284,amx1.net
3289,adingo.jp
3291,a2hosting.com
3294,axis.com
3307,adentifi.com
3313,acoustic-adm.com
3316,awsdns-27.com
3337,adotmob.com
3354,akadns99.net
3359,awsdns-33.com
3363,aa.com
3405,aeroflot.ru
3410,asos.com
3418,alchemer.com
3423,apple-dns.cn
3425,awsdns-39.com
3433,artstation.com
3434,awsdns-59.com
3438,awsdns-30.com
3448,apptentive.com
3457,alrosa.ru
3465,advolve.io
3468,azurecontainerapps.io
3479,arin.net
3537,adhigh.net
3543,awsdns-16.com
3544,awsdns-20.com
3546,abebooks.com
3548,awsdns-42.com
3550,awsdns-43.com
3552,apnic.net
3553,asuscomm.com
3578,awsdns-24.com
3581,abc.es
3598,awsdns-13.com
3599,amazon.nl
3630,awsdns-54.com
3639,ax-dc-msedge.net
3642,arduino.cc
3647,amazon.se
3651,ad-score.com
