id,domain
18,dzen.ru
29,domaincontrol.com
35,doubleclick.net
47,digicert.com
109,discord.gg
128,dns.google
131,dnsowl.com
137,dropbox.com
154,discord.com
165,dns-parking.com
202,doi.org
281,doubleverify.com
284,duckdns.org
290,dropcatch.com
297,debian.org
321,datadoghq.com
327,drom.ru
330,dnsmadeeasy.com
334,douyincdn.com
348,dell.com
359,dotaplabs.net
374,demdex.net
382,dailymotion.com
419,dnspod.net
442,dual-s-msedge.net
477,duckduckgo.com
481,duolingo.com
489,docker.com
490,discord.media
524,dynatrace.com
549,deviantart.com
584,dailymail.co.uk
605,deepl.com
640,digitalocean.com
643,dyndns.org
649,dyingbirds.com
656,dreamhost.com
673,dotomi.com
707,dbankcloud.com
708,dailymail.com
771,ddnss.de
796,disneyplus.com
800,daum.net
824,dtkn.ru
826,discordapp.com
831,dbankcloud.ru
847,disqus.com
848,discogs.com
887,deloitte.com
909,dv.tech
932,docker.io
964,digitaloceanspaces.com
993,dnse0.com
1014,docomo.ne.jp
1042,ddns.net
1072,deere.com
1092,dkttc.ac.th
1100,dnse2.com
1121,dribbble.com
1155,dafont.com
1163,dhl.com
1172,dmm.co.jp
1181,dns.cn
1209,donga.com
1210,dcinside.com
1242,divar.ir
1253,dw.com
1261,dlsite.com
1308,donmai.us
1311,datadome.co
1350,digikala.com
1386,dagbladet.no
1397,deepseek.com
1528,dogdrip.net
1597,desitales2.com
1601,diretta.it
1641,dto.jp
1654,darkero.com
1675,digitallocker.gov.in
1690,dns-shop.ru
1704,desiviral.net
1720,dpbossss.boston
1754,desitelugusex.com
1764,delegaciondelgobierno.gob.es
1807,dbankcloud.cn
1810,douyin.com
1868,dnse1.com
1869,deezer.com
1888,deepintent.com
2005,dnse3.com
2048,discomax.com
2052,dbankcdn.com
2063,dnsv5.com
2071,dns.br
2073,dynamics.com
2076,dropbox-dns.com
2090,datto.com
2131,duke.edu
2132,dropboxusercontent.com
2169,dantri.com.vn
2177,doppiocdn.com
2181,douyinpic.com
2216,didiglobal.com
2295,dondominio.com
2324,disney.com
2329,dian.gov.co
2336,digicertdns.com
2361,digg.com
