id,domain
2,gtld-servers.net
4,gstatic.com
7,googleapis.com
20,googletagmanager.com
21,googlevideo.com
31,github.com
37,googleusercontent.com
49,gandi.net
50,goo.gl
63,googlesyndication.com
65,googledomains.com
72,gvt1.com
78,gvt2.com
79,gwfb.net
106,google-analytics.com
115,github.io
134,googleadservices.com
141,gravatar.com
143,godaddy.com
169,ggpht.com
213,gmail.com
285,geobasket.ru
298,googleblog.com
328,gnu.org
361,google.cn
401,gitlab.com
412,globo.com
447,go.com
455,g.page
458,gcdn.co
465,goodreads.com
467,gamepass.com
472,gosuslugi.ru
491,gandi-ns.fr
509,google.de
519,google.com.hk
574,grammarly.com
612,googlezip.net
615,googletagservices.com
671,g.co
696,google.co.uk
717,githubusercontent.com
733,google.com.br
765,globalsign.com
768,gumgum.com
798,grammarly.io
859,goskope.com
901,go-mpulse.net
921,genius.com
980,giphy.com
1019,garmin.com
1023,goal.com
1056,google.ca
1086,gofin.io
1106,gofundme.com
1117,gsmarena.com
1128,gtm-a2b2.com
1140,google.co.jp
1160,gismeteo.ru
1202,google.fr
1228,gazzetta.it
1251,googleapis.cn
1331,gst.gov.in
1402,gcash.com
1441,gamewith.jp
1506,gartner.com
1513,goodreturns.in
1520,google.it
1553,girlschannel.net
1581,goojara.to
1685,goal7.co
1695,google.ru
1729,gree-apps.net
1736,ganamosnet.org
1757,gree-pf.net
1774,google.co.in
1782,google.es
1821,geocities.com
1822,gpcloudservice.com
1845,gygtest.com
1878,gdemoideti.ru
1904,gizmodo.com
1935,google.nl
1947,getbootstrap.com
1967,git-scm.com
1972,globenewswire.com
2013,gmoregistry.net
2021,google.com.au
2022,gshifen.com
2032,giex.ru
2053,gtld.biz
2055,gvt3.com
2105,google.co.id
2123,garenanow.com
2129,geoedge.be
2191,gos-gsp.io
2229,gallup.com
2259,generatepress.com
2275,gameanalytics.com
2280,guardian.co.uk
2284,game8.jp
2285,garena.com
2294,grafana.com
2346,glassdoor.com
2385,getyourguide.com
2386,gettyimages.com
2418,gama.ir
2432,gamisco.com
2440,geotrust.com
2444,geodema.network
2476,gmx.net
2495,gccdn.net
2496,gboxlab.com
2565,getpocket.com
2570,gamespot.com
2591,gutenberg.org
2625,google.pl
2677,google.us
2679,groww.in
2712,google.com.tr
2736,growone.sg
2776,glanceapis.com
2826,gihc.net
2827,gotowebinar.com
2864,gumroad.com
2904,galaxy-cdn.com
2920,glance-cdn.com
2939,grok.com
2950,grindr.com
2963,gygtest.net
2964,globalcdn.co
3057,google.com.sg
3088,glance.net
3133,google.at
3187,googlesource.com
3194,google.com.mx
3200,google.be
3208,google.ch
3236,geeksforgeeks.org
3257,geocomply.com
3263,google.com.tw
3306,guard.io
3309,goodhousekeeping.com
3311,google.com.ua
3324,gog.com
3336,gitee.com
3344,greenpeace.org
3369,google.se
3375,georgetown.edu
3378,gitbook.io
3396,google.co.il
3416,google.co.th
3453,gotinder.com
3481,glasvezelactiveren.nl
3515,gnome.org
3527,gannett-dns.com
3531,go.dev
3539,google.com.ar
3547,gatech.edu
3567,google.gr
3583,gemius.pl
3613,gimp.org
3638,google.co.za
3641,google.cz
3676,garant.ru
3684,google.com.vn
3700,glpals.com
3725,google.com.ph
3751,google.co.kr
3772,githubcopilot.com
3789,grass.io
3797,gameloft.com
3833,globalnews.ca
3843,gpubgm.com
3858,google.cl
3861,googlehosted.com
3862,google.com.my
3867,gaijin.net
3876,grafana.net
3880,google.com.co
3888,gcd-dns.com
3893,google.dk
3895,guardingvision.com
3925,gifshow.com
3949,geforce.com
3961,google.com.pe
3973,google.fi
3978,google.no
3982,google.co.nz
3988,gesetze-im-internet.de
4083,g2.com
4092,google.com.pk
4100,gamma.app
4101,google.pt
4105,google.ae
4117,grandviewresearch.com
4133,glulive.com
4144,goethe.de
4149,gulfnews.com
4173,gm.com
4213,gap.com
4236,ghost.org
4239,google.co.ve
4245,goguardian.com
4251,gwu.edu
4272,google.co.ke
4274,growthbook.io
4279,google.com.sa
4290,getadblock.com
4305,google.com.bd
