id,domain
181,jomodns.com
295,jsdelivr.net
527,jquery.com
606,jotform.com
905,jetbrains.com
931,jd.com
984,jimdo.com
1169,jstor.org
1174,jw.org
1201,janitorai.com
1259,jusbrasil.com.br
1291,justdial.com
1354,jalan.net
1398,jable.tv
1435,jutarnji.hr
1449,jagran.com
1517,joyclub.de
1519,jcphi.com
1526,jennymovies.com
1639,jra.go.jp
1683,jra.jp
1702,jaya9bangladesh.com
1744,javwow.com
1872,jamanetwork.com
1882,jamfcloud.com
1883,jino.ru
1901,jhu.edu
2040,juicyscore.com
2087,justice.gov
2248,jimdofree.com
2300,joinserver.xyz
2434,joinindianarmy.nic.in
2543,jwplayer.com
2549,julydns.com
2555,java.com
2726,jtvnw.net
2883,johndeerecloud.com
2905,jup9.com
2954,jwpltx.com
2956,jampp.com
2980,jpush.cn
2990,jav.guru
3024,joinmassive.com
3060,justia.com
3061,joomla.org
3281,joyn.de
3517,jio.com
3585,jftechws.com
3596,jakarta.go.id
3650,judns.com
3757,jp.net
3798,jimdosite.com
3928,jpost.com
4130,js.org
4143,judge.me
4191,japanpost.jp
4203,jwpcdn.com
4209,jivosite.com
4250,japantimes.co.jp
4346,joinhoney.com
4391,juntadeandalucia.es
4478,jst.go.jp
4649,jivo.ru
4692,justwatch.com
4747,johnlewis.com
4855,jivox.com
4897,jumpjump.io
4983,jal.co.jp
5124,jma.go.jp
5151,joom.com
5156,jcpenney.com
5199,jpmorgan.com
5320,join.chat
5345,justpaste.it
5536,justgiving.com
5546,jobstreet.com
5671,jetbrains.ai
5769,java.net
5823,jiosaavn.com
5867,just-eat.co.uk
6046,jiveip.net
6079,jiji.com
6187,jigsawplanet.com
6294,janusaent.com
6427,jbhifi.com.au
6511,jeuxvideo.com
6548,jorudan.co.jp
6575,jpn.com
6603,jornada.com.mx
6755,jooble.org
6758,jagex.com
6770,jqueryui.com
6801,journaldesfemmes.fr
6834,jnj.com
6838,js7k.com
6983,joinmastodon.org
7047,joongang.co.kr
7061,jmty.jp
7221,jet2holidays.com
7289,just.ro
7394,jfrog.io
7497,joker.com
7596,jnbhi.com
7621,jwplatform.com
7652,jet.su
7667,jetblue.com
7780,jcb.co.jp
7786,jr-odekake.net
7967,jetpunk.com
8047,jpmorganchase.com
8065,jbl.com
8192,jwpsrv.com
8236,jang.com.pk
8238,javhdporn.net
8314,javtiful.com
8333,javhd.today
8339,javdb.com
8347,javdock.com
8380,juris.de
8438,janeapp.com
8461,javlibrary.com
8467,javxxx.me
8653,javbus.com
8685,jito.wtf
8733,jugabet.cl
8766,justanswer.com
8787,justporn.com
8829,jjgirls.com
8868,jc-gs.com
8892,jcplatform.dev
8938,journaldemontreal.com
8941,jkanime.net
9071,jobcan.jp
9122,jav.sb
9151,javgg.net
9155,joporn.name
9168,jsonline.com
9226,jamb.gov.ng
9238,josporn.club
