id,domain
44,sharepoint.com
46,skype.com
66,spotify.com
95,samsung.com
100,sentry.io
117,snapchat.com
136,static.microsoft
148,steamserver.net
156,spo-msedge.net
168,shopify.com
176,soundcloud.com
190,sfx.ms
200,shifen.com
215,sciencedirect.com
232,sourceforge.net
240,stripe.com
245,scorecardresearch.com
246,spov-msedge.net
274,springer.com
286,salesforce.com
296,samsungcloud.com
300,steampowered.com
306,shopifysvc.com
308,shalltry.com
314,samsungqbe.com
325,smartadserver.com
346,slack.com
363,stanford.edu
367,selectel.ru
372,samsungcloudsolution.com
429,sina.com.cn
434,steamcommunity.com
449,statista.com
450,sberbank.ru
456,substack.com
457,skyhigh.cloud
460,sc-gw.com
482,sohu.com
488,scribd.com
492,supertms.com
495,shein.com
497,stackoverflow.com
506,supercell.com
516,slideshare.net
518,svc.ms
567,spaceweb.pro
585,surveymonkey.com
588,samsungapps.com
594,speedtest.net
598,share.google
618,sharethrough.com
620,sagepub.com
622,squarespace.com
632,smaato.net
646,stackadapt.com
648,service.gov.uk
663,squarespacedns.com
686,shop.app
690,seznam.cz
691,samsungacr.com
709,shopee.com.br
725,stripchat.com
732,shopee.co.id
743,steamstatic.com
745,sophos.com
756,safebrowsing.apple
790,sedo.com
813,singular.net
820,shopeemobile.com
828,sc-cdn.net
839,singtelchina.cn
852,ssl-images-amazon.com
868,spotifycdn.com
875,synology.com
894,scdn.co
898,spiegel.de
899,state.gov
903,sentinelone.net
907,samsungosp.com
912,smartthings.com
920,seedtag.com
965,smilewanted.com
967,segment.io
988,sofascore.com
1009,samsungcloudsolution.net
1025,share-dns.com
1033,starlink.com
1037,statcounter.com
1070,stbid.ru
1077,samsungiotcloud.com
1101,split.io
1108,skroutz.gr
1122,skysports.com
1123,samsungcloud.tv
1124,shiabank.com
1127,service-now.com
1131,sahibinden.com
1150,stackexchange.com
1159,susercontent.com
1175,sectigo.com
1177,safety.google
1193,spankbang.com
1221,sapo.pt
1247,statuspage.io
1283,superhosting.bg
1290,suumo.jp
1298,spbycdn.com
1341,steamcontent.com
1348,subito.it
1352,sotwe.com
1358,smadex.com
1373,sun.com
1378,sportybet.com
1383,sex-studentki.team
1407,supabase.co
1408,syosetu.com
1412,simpcity.cr
1419,siemens.com
1428,sozcu.com.tr
1443,sexvid.xxx
1444,spankbang.party
1451,ssstik.io
1465,superporn.com
1480,sxyprn.com
1489,sondakika.com
1494,sciencedaily.com
1497,sex-studentki.cafe
1509,supjav.com
1510,spectrum.com
1534,suruga-ya.jp
1537,snaptik.app
1560,serviporno.com
1566,sinoptik.ua
1572,screener.in
1575,skokka.com
1577,sexemodel.com
1583,ss.com
1591,s8ey.com
1593,search-start.org
1594,site.com
1605,syosetu.org
1610,sexalarab.com
1612,shutterstock.com
1630,sexnyk.com
1638,skelbiu.lt
1645,spaggiari.eu
1646,salonboard.com
1658,skipthegames.com
1680,sarkariresult.com.cm
1700,simontokx.asia
1722,sattamatkadpboss.mobi
1723,sexvid1.com
1735,scan-manga.com
1737,site777.jp
1739,satta-king-fast.com
1747,staseraintv.com
1762,sattamatkano1.me
1805,sslip.io
1808,sinaedge.com
1824,scientificamerican.com
