id,domain
16,twitter.com
40,trafficmanager.net
60,tiktok.com
75,tiktokcdn.com
87,tiktokv.com
108,t.me
118,trbcdn.net
149,tumblr.com
174,tm-azurefd.net
184,theguardian.com
192,t-online.de
195,taboola.com
203,ttdns2.com
204,telekom.de
212,twitch.tv
221,t.co
239,telekom.net
243,telegram.org
278,tinyurl.com
280,tiktokcdn-us.com
283,ttvnw.net
305,telecid.ru
351,trustpilot.com
357,trueconf.net
362,tradingview.com
373,tbcache.com
388,tp-link.com
393,temu.com
405,tiktokv.us
414,telegram.me
416,tiktokcdn-eu.com
421,tiktokv.eu
422,taobao.com
438,t-mobile.com
501,tencent-cloud.net
533,time.com
535,tandfonline.com
536,trendmicro.com
551,tplinkcloud.com
554,tripadvisor.com
556,timeweb.ru
560,telegraph.co.uk
563,teamviewer.com
581,target.com
582,t-msedge.net
603,threads.com
613,techcrunch.com
623,tencent.com
667,twimg.com
689,ted.com
701,typekit.net
727,tld-servers.ru
736,telephony.goog
766,teads.tv
789,theverge.com
811,tplinknbu.com
817,turn.com
885,thenai.org
892,tiktokw.us
945,tsyndicate.com
952,theatlantic.com
957,tailscale.com
966,themeforest.net
989,theconversation.com
998,tiktokpangle.us
1006,tiktokrow-cdn.com
1013,tesla.com
1040,translate.goog
1066,typeform.com
1068,t-s1-msedge.net
1075,trendyol.com
1095,triplinkintl.com
1104,tabelog.com
1111,tnaflix.com
1130,t-bank-app.ru
1162,tubi.io
1182,tbs.co.jp
1212,tabor.ru
1214,tradplusad.com
1237,tendawifi.com
1245,txnhh.com
1309,tapad.com
1332,thisvid.com
1342,turkiye.gov.tr
1359,tbank.ru
1368,tenki.jp
1379,trello.com
1464,theqoo.net
1471,theblowers.com
1474,tinkoff.ru
1492,torob.com
1493,thexh.live
1501,testbook.com
1504,toyhou.se
1527,tokyomotion.net
1539,ttlivecdn.com
1544,therapservices.net
1569,trilltrill.jp
1571,twpornstars.com
1644,twkan.com
1653,tjk.org
1687,turbo.az
1705,triunfobet.com
1708,thscore99.com
1709,tjsp.jus.br
1716,tamildhool.tech
1727,tktube.com
1784,tawk.to
1788,twilio.com
1791,tdnsstic1.cn
1794,threads.net
1811,trustarc.com
1857,tripod.com
1858,thelancet.com
1875,tremorhub.com
1906,techtarget.com
1908,typepad.com
1917,themeisle.com
1955,telegra.ph
1976,telefonica.de
1982,truste.com
1998,themoviedb.org
2012,timeanddate.com
2016,thesun.co.uk
2023,threema.ch
2054,truecaller.com
2081,traffmonetizer.com
2093,tribalfusion.com
2121,ticketmaster.com
2128,technorail.com
2140,typekit.com
2151,tori.fi
2162,tiqcdn.com
2164,transsion-os.com
2204,trustedstack.com
2205,techradar.com
2238,thousandeyes.com
2258,tutu.ru
2312,tabletki.ua
2316,typing.com
2334,traveloka.com
2373,test-cdn-kkk.com
2374,tq-tungsten.com
2423,tdnsv5.com
2428,topgirl.co
2439,test-uz.ru
2451,tappx.com
2463,tospotify.com
2485,trs-dns.net
2507,tenor.com
2513,trip.com
2514,trellix.com
2518,tiktokglobalshopv.com
2525,trs-dns.com
2541,tmall.com
2559,tenable.com
