id,domain
28,wikipedia.org
32,whatsapp.net
43,wordpress.org
57,whatsapp.com
61,windowsupdate.com
69,windows.net
71,wa.me
86,windows.com
94,workers.dev
101,wordpress.com
178,w3.org
179,webex.com
189,wac-msedge.net
210,weather.com
237,wildberries.ru
241,wikimedia.org
249,who.int
253,wsdvs.com
261,wixsite.com
288,www.gov.uk
302,weibo.com
317,wiley.com
329,weebly.com
349,wsj.com
358,washingtonpost.com
369,walmart.com
397,wbx2.com
440,wp.com
480,worldnic.com
525,wired.com
571,wix.com
611,wb.ru
637,withgoogle.com
652,wattpad.com
675,wikia.com
692,wswebcdn.com
694,wps.com
748,wbbasket.ru
755,wpguardian.com
759,wpguardian.io
781,washington.edu
797,wp.pl
802,welt.de
810,whecloud.com
873,worldbank.org
876,wyzecam.com
889,www.gov.br
911,webmd.com
924,weforum.org
978,whitehouse.gov
1057,webempresa.eu
1081,warnerbros.com
1103,wise.com
1152,wetter.com
1243,wordwall.net
1255,wiktionary.org
1262,webhostbox.net
1287,wcdnga.com
1297,wisc.edu
1335,wshifen.com
1363,waze.com
1367,weathernews.jp
1495,wpastra.com
1554,wnacg.com
1712,w3schools.com
1790,wikihow.com
1800,websitewelcome.com
1900,www.nhs.uk
1983,wa.link
2002,wechat.com
2024,wunderground.com
2046,wswebpic.com
2086,wps.cn
2145,windy.com
2186,walmart.com.mx
2257,wayground.com
2262,www.gov.cn
2298,wetteronline.de
2326,wpengine.com
2367,web.de
2370,web.dev
2376,www.gob.mx
2383,weather.gov
2470,wtxcdn.com
2486,wetransfer.com
2502,wayfair.com
2511,weibo.cn
2533,wshareit.com
2536,webrootcloudav.com
2545,wpsdns.com
2672,wsglb0.com
2684,weplayapp.com
2694,webs.com
2695,woocommerce.com
2697,wipo.int
2760,wikisource.org
2787,wanadoo.fr
2811,walmartimages.com
2853,websupport.sk
2876,wa.gov
2887,web.app
2907,webflow.com
2919,webflow.io
2937,wb.gov.in
2976,w55c.net
3047,watchguard.com
3087,weibocdn.com
