id,domain
8,youtube.com
45,youtu.be
59,yahoo.com
88,ytimg.com
89,yandex.net
98,yandex.ru
153,yccdn.ru
216,youtube-nocookie.com
389,yandex.com
444,yahoo.co.jp
589,yahoodns.net
644,yelp.com
683,yieldmo.com
699,ya.ru
853,yellowblue.io
872,yandexcloud.net
902,youku.com
915,ys7.com
1003,youronlinechoices.com
1046,yale.edu
1053,yximgs.com
1063,yandex.kz
1105,yastatic.net
1226,ynet.co.il
1275,youporn.com
1333,youjizz.com
1458,yimg.com
1634,yallakora.com
1724,yasyadong01.tv
1787,your-server.de
1798,yandex.com.tr
2009,yimg.jp
2222,yotpo.com
2299,ycombinator.com
2424,yammer.com
2670,ydparty06.net
2856,youm7.com
2938,yumpu.com
3170,youronlinechoices.eu
3180,yg5sjx5kzy.com
3268,yahoo.net
3574,yle.fi
3805,ymmobi.com
3830,yp.to
3855,yomiuri.co.jp
3971,your-storageshare.de
4298,yna.co.kr
4323,yandex.by
4757,yango.com
4768,yandexadexchange.net
4833,youboranqs01.com
4950,youradchoices.com
4967,yr.no
4969,yolasite.com
4991,youversionapi.com
5014,youngjoygame.com
5016,yandex-team.ru
5042,yeastar.com
5057,yndx-cdn.com
5092,yektanet.com
5105,youdao.com
5186,yougov.com
5230,yandex.uz
5243,yummyani.me
5600,yorku.ca
5771,yesstyle.com
5803,yaplakal.com
6055,yodobashi.com
6305,yamaha.com
6481,youradchoices.ca
6508,yoast.com
7093,yieldlab.net
7335,yesporn.vip
7345,yadro.ru
7411,york.ac.uk
7650,ygosu.com
7657,yutex.ru
7754,yuga.ru
7982,your-storagebox.de
8108,yesplay.bet
8130,yzwtz.com
8169,yadi.sk
8240,yiche.com
8266,yad2.co.il
8475,yaoiscan.com
8543,yenicaggazetesi.com
8671,youappi.com
8776,yellowpages.com
8847,yclients.com
8896,yoomoney.ru
8994,yiv.com
9004,yaeby.work
9015,yanmaga.jp
9063,y2mate.nu
9119,yaoimangaonline.com
9147,ygles.com
9308,ymcdn.org
9459,yakkun.com
9700,yieldlove-ad-serving.net
9723,yupmanga.com
9736,yealink.com
9859,yuvideos.com
9880,ylilauta.org
10173,yenibeygir.com
10190,youngle.tech
10240,yonogamekiduniya.com
10250,yama96.jp
10319,yubico.com
10493,yahoosandbox.net
10500,yahooapis.jp
10589,yy.com
10605,yusercontent.com
10725,yourdictionary.com
10789,yunray.ai
10995,yomeno.xyz
11046,yourdomain.com
11158,youborafds01.com
11188,yeahtargeter.com
11197,yuanshen.com
11258,yotpoapi.com
11384,yoncu.com
11550,y8.com
11611,ytdown.to
11668,yospace.com
11773,yandex-net.ru
11792,y-tun.com
12098,youngle.site
12109,yarnpkg.com
12147,yandex.fi
12254,yahoo.cloud
12270,ysscores.com
12313,yadro.com
12432,yingt.fun
12451,yoox.com
12487,yourtango.com
12548,yts.bz
12719,yunxinfw.com
12738,ynetnews.com
12920,yadongtv88.com
12952,yash7777.com
12995,yangkeduo.com
